1769717567:/Users/benknight/Code/Thais Website/tsconfig.json:root
1769717571:/Users/benknight/Code/Thais Website/postcss.config.mjs:root
1769717575:/Users/benknight/Code/Thais Website/next.config.ts:root
1769717583:/Users/benknight/Code/Thais Website/package.json:root
1769717596:/Users/benknight/Code/Thais Website/src/types/index.ts:src
1769717611:/Users/benknight/Code/Thais Website/src/data/site.ts:src
1769717641:/Users/benknight/Code/Thais Website/src/data/projects.ts:src
1769717646:/Users/benknight/Code/Thais Website/src/hooks/useReducedMotion.ts:src
1769717654:/Users/benknight/Code/Thais Website/src/hooks/useIntersectionObserver.ts:src
1769717667:/Users/benknight/Code/Thais Website/src/components/ui/ScrollSnapContainer.tsx:src
1769717671:/Users/benknight/Code/Thais Website/src/components/ui/ScrollSnapSection.tsx:src
1769717676:/Users/benknight/Code/Thais Website/src/components/ui/FullBleedImage.tsx:src
1769717680:/Users/benknight/Code/Thais Website/src/components/ui/FullBleedVideo.tsx:src
1769717686:/Users/benknight/Code/Thais Website/src/components/ui/TextOverlay.tsx:src
1769717693:/Users/benknight/Code/Thais Website/src/components/ui/ProjectCard.tsx:src
1769717699:/Users/benknight/Code/Thais Website/src/components/ui/FadeInOnScroll.tsx:src
1769717707:/Users/benknight/Code/Thais Website/src/components/ui/ScrollIndicator.tsx:src
1769717723:/Users/benknight/Code/Thais Website/src/components/layout/Header.tsx:src
1769717732:/Users/benknight/Code/Thais Website/src/components/layout/MobileNav.tsx:src
1769717740:/Users/benknight/Code/Thais Website/src/components/layout/Footer.tsx:src
1769717758:/Users/benknight/Code/Thais Website/src/app/globals.css:src
1769717765:/Users/benknight/Code/Thais Website/src/app/layout.tsx:src
1769717785:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1769717793:/Users/benknight/Code/Thais Website/src/app/projects/page.tsx:src
1769717809:/Users/benknight/Code/Thais Website/src/app/projects/[slug]/page.tsx:src
1769717822:/Users/benknight/Code/Thais Website/src/app/about/page.tsx:src
1769717835:/Users/benknight/Code/Thais Website/src/app/contact/page.tsx:src
1769718200:/Users/benknight/Code/Thais Website/.gitignore:root
1769718205:/Users/benknight/Code/Thais Website/eslint.config.mjs:root
1769719497:/Users/benknight/Code/Thais Website/src/data/projects.ts:src
1769719525:/Users/benknight/Code/Thais Website/src/app/about/page.tsx:src
1769719532:/Users/benknight/Code/Thais Website/src/app/contact/page.tsx:src
1769719795:/Users/benknight/Code/Thais Website/src/app/layout.tsx:src
1769719802:/Users/benknight/Code/Thais Website/src/app/layout.tsx:src
1769719819:/Users/benknight/Code/Thais Website/src/app/projects/page.tsx:src
1769719828:/Users/benknight/Code/Thais Website/src/app/projects/page.tsx:src
1769719838:/Users/benknight/Code/Thais Website/src/app/projects/page.tsx:src
1769719846:/Users/benknight/Code/Thais Website/src/app/contact/page.tsx:src
1769719854:/Users/benknight/Code/Thais Website/src/app/contact/page.tsx:src
1769719866:/Users/benknight/Code/Thais Website/src/app/contact/page.tsx:src
1769720105:/Users/benknight/Code/Thais Website/src/components/layout/Header.tsx:src
1769720799:/Users/benknight/Code/Thais Website/src/data/press.ts:src
1769720812:/Users/benknight/Code/Thais Website/src/data/awards.ts:src
1769720828:/Users/benknight/Code/Thais Website/src/app/press/page.tsx:src
1769720842:/Users/benknight/Code/Thais Website/src/app/awards/page.tsx:src
1769720860:/Users/benknight/Code/Thais Website/src/data/site.ts:src
1769721081:/Users/benknight/Code/Thais Website/src/app/awards/page.tsx:src
1769721091:/Users/benknight/Code/Thais Website/src/app/layout.tsx:src
1769721171:/Users/benknight/Code/Thais Website/src/app/press/page.tsx:src
1769721234:/Users/benknight/Code/Thais Website/src/data/awards.ts:src
1769721251:/Users/benknight/Code/Thais Website/src/app/awards/page.tsx:src
1769721751:/Users/benknight/Code/Thais Website/src/components/ui/ParallaxSection.tsx:src
1769721789:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
