1770282846:/Users/benknight/Code/Thais Website/src/app/globals.css:src
1770284289:/Users/benknight/Code/Thais Website/src/data/projects.ts:src
1770284447:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1770284461:/Users/benknight/Code/Thais Website/src/app/about/page.tsx:src
1770284474:/Users/benknight/Code/Thais Website/src/app/about/page.tsx:src
1770284482:/Users/benknight/Code/Thais Website/src/app/about/page.tsx:src
1770284488:/Users/benknight/Code/Thais Website/src/app/about/page.tsx:src
1770284497:/Users/benknight/Code/Thais Website/src/app/projects/[slug]/page.tsx:src
1770284504:/Users/benknight/Code/Thais Website/src/app/projects/[slug]/page.tsx:src
1770284512:/Users/benknight/Code/Thais Website/src/app/projects/[slug]/page.tsx:src
1770284520:/Users/benknight/Code/Thais Website/src/app/contact/page.tsx:src
1770284541:/Users/benknight/Code/Thais Website/src/app/projects/page.tsx:src
1770285026:/Users/benknight/Code/Thais Website/src/components/ui/ParallaxSection.tsx:src
1770285036:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1770285043:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1770285052:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1770285402:/Users/benknight/Code/Thais Website/src/components/ui/ParallaxSection.tsx:src
1770285832:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1770285927:/Users/benknight/Code/Thais Website/src/app/philosophy/page.tsx:src
1770285938:/Users/benknight/Code/Thais Website/src/data/site.ts:src
1770285959:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1770286618:/Users/benknight/Code/Thais Website/src/components/ui/LogoMotion.tsx:src
1770286692:/Users/benknight/Code/Thais Website/src/app/philosophy/page.tsx:src
1770286701:/Users/benknight/Code/Thais Website/src/components/ui/FullBleedVideo.tsx:src
1770286708:/Users/benknight/Code/Thais Website/src/app/page.tsx:src
1770287086:/Users/benknight/Code/Thais Website/src/app/philosophy/page.tsx:src
